username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Lee Baxter ♀️☮,737535261324640262,"Redmond, WA",2023-01-19 20:42:14,"@msflash050 It is just adding ""white supremacy"" to the list of other hate crimes. It's overdue.
Neither Antifa or B… https://t.co/buG2MvtfNA",0,Twitter Web App,
Riccardo/Ricco,1199934897797754882,"Bothell, WA",2023-01-19 03:07:16,@UltraDane BLV not BLM…Blacks Love Violence…she needs 3-5 in state prison for assault with a DDW. End of story,0,Twitter for iPhone,
Hilary Lohman,779705880916860928,"Lynnwood, WA",2023-01-18 02:09:31,"@TheBadBeaner And, all lives matter, not just black, or brown, or whatever or green, or yellow. It's okay for the b… https://t.co/6yZetNWMQR",0,Twitter for Android,
fraudbappes burner,1280396842002350083,"Redmond, WA",2023-01-16 23:02:16,Martin Luther what a guy #blm #him #nationalholiday,0,Twitter for iPhone,
Mary Jane💚,1498144409749110786,"Lynnwood, WA",2023-01-16 20:41:50,"@jlavett0831 When the anarchists co-opted WTO protests they should have been arrested. Every protest after that, fo… https://t.co/E42IFC2UUd",0,Twitter Web App,
JB,67542387,"Mill Creek, WA",2023-01-14 16:35:53,@prattaaron @RepMTG Wouldn’t the same logic apply to the 2 individuals that Rittenhouse killed at the BLM protest?… https://t.co/LsXnQPKCbI,0,Twitter for iPhone,
